RelativePath,SourceBytes,Status,Method,OutputPath,Notes
"AI_WAVE-SHOCK_GOLD.CFG",483,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AI_WAVE-SHOCK_GOLD.CFG.png","raw RGB strip, pixels=161, variableChannel=B, uniqueBytes=22, FF=66.7 %"
"AK12_DualMag_Ghetto.CFG",501,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK12_DualMag_Ghetto.CFG.png","raw RGB strip, pixels=167, variableChannel=B, uniqueBytes=14, FF=66.7 %"
"AK47-Beast.CFG",474,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47-Beast.CFG.png","raw RGB strip, pixels=158, variableChannel=B, uniqueBytes=4, FF=66.7 %"
"AK47-Blue Crystal.CFG",431,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47-Blue Crystal.CFG.png","raw RGB strip, pixels=144, variableChannel=B, uniqueBytes=9, FF=66.8 %"
"AK47-Knife Ultimate Silver.CFG",626,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47-Knife Ultimate Silver.CFG.png","raw RGB strip, pixels=209, variableChannel=R, uniqueBytes=14, FF=66.6 %"
"AK47_A_SonWukong.CFG",489,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_A_SonWukong.CFG.png","raw RGB strip, pixels=163, variableChannel=G, uniqueBytes=11, FF=66.7 %"
"AK47_Beast_NobleGold.CFG",492,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Beast_NobleGold.CFG.png","raw RGB strip, pixels=164, variableChannel=G, uniqueBytes=20, FF=66.7 %"
"AK47_Knife_BornBeast.CFG",681,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_BornBeast.CFG.png","raw RGB strip, pixels=227, variableChannel=G, uniqueBytes=13, FF=66.7 %"
"AK47_Knife_BornBeast_DrumMag.CFG",681,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_BornBeast_DrumMag.CFG.png","raw RGB strip, pixels=227, variableChannel=G, uniqueBytes=10, FF=66.7 %"
"AK47_knife_DMZ.CFG",485,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_knife_DMZ.CFG.png","raw RGB strip, pixels=162, variableChannel=G, uniqueBytes=7, FF=66.6 %"
"AK47_Knife_Peony.CFG",485,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_Peony.CFG.png","raw RGB strip, pixels=162, variableChannel=B, uniqueBytes=11, FF=66.8 %"
"AK47_Knife_PlatinumBlue.CFG",513,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_PlatinumBlue.CFG.png","raw RGB strip, pixels=171, variableChannel=R, uniqueBytes=21, FF=66.7 %"
"AK47_Knife_RoyalDragon3.CFG",509,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_RoyalDragon3.CFG.png","raw RGB strip, pixels=170, variableChannel=R, uniqueBytes=12, FF=66.6 %"
"AK47_Knife_TurtleShell.CFG",504,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_TurtleShell.CFG.png","raw RGB strip, pixels=168, variableChannel=G, uniqueBytes=10, FF=66.7 %"
"AK47_Knife_UltimateGold.CFG",520,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_UltimateGold.CFG.png","raw RGB strip, pixels=174, variableChannel=G, uniqueBytes=8, FF=66.7 %"
"AK47_Knife_YellowCrystal.CFG",475,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Knife_YellowCrystal.CFG.png","raw RGB strip, pixels=159, variableChannel=R, uniqueBytes=9, FF=66.5 %"
"AK47_K_IronBeast.CFG",493,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_K_IronBeast.CFG.png","raw RGB strip, pixels=165, variableChannel=B, uniqueBytes=9, FF=66.7 %"
"AK47_Phoenix.CFG",473,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Phoenix.CFG.png","raw RGB strip, pixels=158, variableChannel=G, uniqueBytes=18, FF=66.6 %"
"AK47_Silencer_PerfectSilver.CFG",522,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Silencer_PerfectSilver.CFG.png","raw RGB strip, pixels=174, variableChannel=B, uniqueBytes=23, FF=66.7 %"
"AK47_Silencer_RustyGoldSkull.CFG",519,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_Silencer_RustyGoldSkull.CFG.png","raw RGB strip, pixels=173, variableChannel=B, uniqueBytes=11, FF=66.7 %"
"AK47_S_RedLacquerware.CFG",501,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AK47_S_RedLacquerware.CFG.png","raw RGB strip, pixels=167, variableChannel=B, uniqueBytes=10, FF=66.7 %"
"AN94_UltimateGold.CFG",489,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AN94_UltimateGold.CFG.png","raw RGB strip, pixels=163, variableChannel=B, uniqueBytes=9, FF=66.7 %"
"Anaconda_FastDraw_Ghetto.CFG",511,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Anaconda_FastDraw_Ghetto.CFG.png","raw RGB strip, pixels=171, variableChannel=B, uniqueBytes=7, FF=66.7 %"
"ARX-160.CFG",458,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\ARX-160.CFG.png","raw RGB strip, pixels=153, variableChannel=G, uniqueBytes=18, FF=66.6 %"
"AT15_Halloween.CFG",477,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AT15_Halloween.CFG.png","raw RGB strip, pixels=159, variableChannel=B, uniqueBytes=22, FF=66.7 %"
"AUGA1_A_UltimateGold.CFG",503,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AUGA1_A_UltimateGold.CFG.png","raw RGB strip, pixels=168, variableChannel=B, uniqueBytes=16, FF=66.8 %"
"AWM-Blue Crystal.CFG",428,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM-Blue Crystal.CFG.png","raw RGB strip, pixels=143, variableChannel=R, uniqueBytes=4, FF=66.6 %"
"AWM_A_InfernalDragon.CFG",673,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_A_InfernalDragon.CFG.png","raw RGB strip, pixels=225, variableChannel=G, uniqueBytes=14, FF=66.7 %"
"AWM_A_Jade.CFG",469,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_A_Jade.CFG.png","raw RGB strip, pixels=157, variableChannel=R, uniqueBytes=6, FF=66.5 %"
"AWM_A_PlatinumBlue.CFG",500,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_A_PlatinumBlue.CFG.png","raw RGB strip, pixels=167, variableChannel=B, uniqueBytes=16, FF=66.8 %"
"AWM_A_TurtleShell.CFG",494,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_A_TurtleShell.CFG.png","raw RGB strip, pixels=165, variableChannel=R, uniqueBytes=20, FF=66.6 %"
"AWM_InfernalDragon_NobleGold.CFG",723,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_InfernalDragon_NobleGold.CFG.png","raw RGB strip, pixels=241, variableChannel=G, uniqueBytes=18, FF=66.7 %"
"AWM_MAGMA.CFG",462,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_MAGMA.CFG.png","raw RGB strip, pixels=154, variableChannel=G, uniqueBytes=9, FF=66.7 %"
"AWM_UltimateGold.CFG",646,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_UltimateGold.CFG.png","raw RGB strip, pixels=216, variableChannel=G, uniqueBytes=11, FF=66.7 %"
"AWM_UltimateSiversmith.CFG",684,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_UltimateSiversmith.CFG.png","raw RGB strip, pixels=228, variableChannel=R, uniqueBytes=14, FF=66.7 %"
"AWM_VariableScope_Ghetto.CFG",512,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\AWM_VariableScope_Ghetto.CFG.png","raw RGB strip, pixels=171, variableChannel=R, uniqueBytes=21, FF=66.6 %"
"Barret_m99_RoyalDragon2.CFG",506,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Barret_m99_RoyalDragon2.CFG.png","raw RGB strip, pixels=169, variableChannel=G, uniqueBytes=15, FF=66.6 %"
"BCAxe_Ares.CFG",471,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BCAxe_Ares.CFG.png","raw RGB strip, pixels=157, variableChannel=B, uniqueBytes=4, FF=66.7 %"
"BCAxe_Beast.CFG",476,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BCAxe_Beast.CFG.png","raw RGB strip, pixels=159, variableChannel=B, uniqueBytes=12, FF=66.8 %"
"BCAxe_phoenix.CFG",473,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BCAxe_phoenix.CFG.png","raw RGB strip, pixels=158, variableChannel=R, uniqueBytes=10, FF=66.6 %"
"BCAxe_RoyalDragon4.CFG",490,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BCAxe_RoyalDragon4.CFG.png","raw RGB strip, pixels=164, variableChannel=G, uniqueBytes=11, FF=66.7 %"
"BC_Axe_RoyalDragon2.CFG",499,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BC_Axe_RoyalDragon2.CFG.png","raw RGB strip, pixels=167, variableChannel=R, uniqueBytes=22, FF=66.5 %"
"Bisley_USS.CFG",466,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Bisley_USS.CFG.png","raw RGB strip, pixels=156, variableChannel=B, uniqueBytes=15, FF=66.7 %"
"BIZONPP19-Gold.CFG",549,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BIZONPP19-Gold.CFG.png","raw RGB strip, pixels=183, variableChannel=G, uniqueBytes=4, FF=66.7 %"
"Blaze_CR-21_FuryGhostWepon.CFG",605,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Blaze_CR-21_FuryGhostWepon.CFG.png","raw RGB strip, pixels=202, variableChannel=G, uniqueBytes=12, FF=66.6 %"
"Blaze_DualDE_FuryGhostWepon.CFG",545,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Blaze_DualDE_FuryGhostWepon.CFG.png","raw RGB strip, pixels=182, variableChannel=B, uniqueBytes=9, FF=66.8 %"
"Blaze_Gloves_FuryGhostWepon.CFG",286,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Blaze_Gloves_FuryGhostWepon.CFG.png","raw RGB strip, pixels=96, variableChannel=R, uniqueBytes=9, FF=66.4 %"
"Blaze_IronMaceG_FuryGhostWepon.CFG",186,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Blaze_IronMaceG_FuryGhostWepon.CFG.png","raw RGB strip, pixels=62, variableChannel=B, uniqueBytes=10, FF=66.7 %"
"Board_UltimateGold.CFG",494,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Board_UltimateGold.CFG.png","raw RGB strip, pixels=165, variableChannel=B, uniqueBytes=18, FF=66.8 %"
"Brick_UltimateGold.CFG",495,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Brick_UltimateGold.CFG.png","raw RGB strip, pixels=165, variableChannel=R, uniqueBytes=12, FF=66.7 %"
"BrokenKukri-RedCrystal.CFG",528,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\BrokenKukri-RedCrystal.CFG.png","raw RGB strip, pixels=176, variableChannel=R, uniqueBytes=4, FF=66.7 %"
"CR-21.CFG",452,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\CR-21.CFG.png","raw RGB strip, pixels=151, variableChannel=R, uniqueBytes=13, FF=66.6 %"
"CR21_Storm.CFG",474,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\CR21_Storm.CFG.png","raw RGB strip, pixels=158, variableChannel=G, uniqueBytes=8, FF=66.7 %"
"D.E-Blue Crystal.CFG",428,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\D.E-Blue Crystal.CFG.png","raw RGB strip, pixels=143, variableChannel=G, uniqueBytes=7, FF=66.6 %"
"D.E-Royal Dragon.CFG",401,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\D.E-Royal Dragon.CFG.png","raw RGB strip, pixels=134, variableChannel=B, uniqueBytes=16, FF=66.8 %"
"DesertEagle_BornBeast.CFG",659,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_BornBeast.CFG.png","raw RGB strip, pixels=220, variableChannel=R, uniqueBytes=15, FF=66.6 %"
"DesertEagle_B_NobleGold.CFG",714,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_B_NobleGold.CFG.png","raw RGB strip, pixels=238, variableChannel=G, uniqueBytes=7, FF=66.7 %"
"DesertEagle_Gradation.CFG",511,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_Gradation.CFG.png","raw RGB strip, pixels=171, variableChannel=G, uniqueBytes=12, FF=66.7 %"
"DesertEagle_Peony.CFG",490,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_Peony.CFG.png","raw RGB strip, pixels=164, variableChannel=R, uniqueBytes=6, FF=66.5 %"
"DesertEagle_PinkCrystal.CFG",435,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_PinkCrystal.CFG.png","raw RGB strip, pixels=145, variableChannel=B, uniqueBytes=13, FF=66.7 %"
"DesertEagle_RoyalDragon5.CFG",512,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_RoyalDragon5.CFG.png","raw RGB strip, pixels=171, variableChannel=B, uniqueBytes=15, FF=66.8 %"
"DesertEagle_S_RoyalDragon3.CFG",710,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_S_RoyalDragon3.CFG.png","raw RGB strip, pixels=237, variableChannel=R, uniqueBytes=8, FF=66.6 %"
"DesertEagle_UltimateGold.CFG",515,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DesertEagle_UltimateGold.CFG.png","raw RGB strip, pixels=172, variableChannel=G, uniqueBytes=4, FF=66.6 %"
"DSR-1 Rusty.CFG",510,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DSR-1 Rusty.CFG.png","raw RGB strip, pixels=170, variableChannel=B, uniqueBytes=10, FF=66.7 %"
"DSR-1_RTS.CFG",615,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DSR-1_RTS.CFG.png","raw RGB strip, pixels=205, variableChannel=B, uniqueBytes=7, FF=66.7 %"
"Dual D.E-Red Vein.CFG",487,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Dual D.E-Red Vein.CFG.png","raw RGB strip, pixels=163, variableChannel=B, uniqueBytes=14, FF=66.7 %"
"Dual D.E_GoldDesertSkull.CFG",505,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Dual D.E_GoldDesertSkull.CFG.png","raw RGB strip, pixels=169, variableChannel=G, uniqueBytes=8, FF=66.7 %"
"DualColt-Volcano.CFG",639,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualColt-Volcano.CFG.png","raw RGB strip, pixels=213, variableChannel=R, uniqueBytes=6, FF=66.7 %"
"DualColt_Hellfire.CFG",646,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualColt_Hellfire.CFG.png","raw RGB strip, pixels=216, variableChannel=R, uniqueBytes=10, FF=66.6 %"
"DualColt_UltimateGold.CFG",678,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualColt_UltimateGold.CFG.png","raw RGB strip, pixels=226, variableChannel=B, uniqueBytes=6, FF=66.7 %"
"DualColt_UltimateGoldsmith.CFG",708,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualColt_UltimateGoldsmith.CFG.png","raw RGB strip, pixels=236, variableChannel=B, uniqueBytes=12, FF=66.7 %"
"DualDE_Storm.CFG",482,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualDE_Storm.CFG.png","raw RGB strip, pixels=161, variableChannel=B, uniqueBytes=4, FF=66.8 %"
"DualKarambit_UltimateGold.CFG",517,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualKarambit_UltimateGold.CFG.png","raw RGB strip, pixels=173, variableChannel=R, uniqueBytes=4, FF=66.5 %"
"DualKarambit_Xmas2015.CFG",502,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualKarambit_Xmas2015.CFG.png","raw RGB strip, pixels=168, variableChannel=B, uniqueBytes=9, FF=66.7 %"
"DualKrissSuperV_RustyGoldSkull.CFG",527,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualKrissSuperV_RustyGoldSkull.CFG.png","raw RGB strip, pixels=176, variableChannel=G, uniqueBytes=7, FF=66.6 %"
"DualUzi_Gradation.CFG",495,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\DualUzi_Gradation.CFG.png","raw RGB strip, pixels=165, variableChannel=B, uniqueBytes=6, FF=66.7 %"
"Dual_DesertEagle_RustyGoldSkull.CFG",526,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Dual_DesertEagle_RustyGoldSkull.CFG.png","raw RGB strip, pixels=176, variableChannel=B, uniqueBytes=11, FF=66.7 %"
"ElectricClaws.CFG",483,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\ElectricClaws.CFG.png","raw RGB strip, pixels=161, variableChannel=G, uniqueBytes=3, FF=66.7 %"
"Flashbang_UltimateGoldsmith.CFG",522,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\Flashbang_UltimateGoldsmith.CFG.png","raw RGB strip, pixels=174, variableChannel=G, uniqueBytes=5, FF=66.7 %"
"FN-F2000-RS.CFG",473,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\FN-F2000-RS.CFG.png","raw RGB strip, pixels=158, variableChannel=G, uniqueBytes=7, FF=66.6 %"
"FRF2-Rusty.CFG",465,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\FRF2-Rusty.CFG.png","raw RGB strip, pixels=155, variableChannel=B, uniqueBytes=7, FF=66.7 %"
"FRF2_Freezing.CFG",643,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\FRF2_Freezing.CFG.png","raw RGB strip, pixels=215, variableChannel=B, uniqueBytes=10, FF=66.7 %"
"G11.CFG",435,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\G11.CFG.png","raw RGB strip, pixels=145, variableChannel=G, uniqueBytes=12, FF=66.7 %"
"G11_BlueSkull.CFG",479,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\G11_BlueSkull.CFG.png","raw RGB strip, pixels=160, variableChannel=G, uniqueBytes=3, FF=66.6 %"
"G11_GoldSkull.CFG",484,"binary-strip-preview","raw-rgb-strip","D:\project\cf_to_csgo\work\m4a1_s_bornbeast\materials\cfg_decode\strip_previews\G11_GoldSkull.CFG.png","raw RGB strip, pixels=162, variableChannel=B, uniqueBytes=4, FF=66.7 %"
